City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
105,Gboko,7.32,9.0,83.3,66,23,5.12,NG,2020-08-22 14:21:52,few clouds
106,Lorengau,-2.02,147.27,82.33,73,16,3.47,PG,2020-08-22 14:21:52,few clouds
107,Thonon-Les-Bains,46.25,6.5,81.0,39,40,2.24,FR,2020-08-22 14:21:52,scattered clouds
108,Camrose,53.02,-112.84,57.0,95,97,6.4,CA,2020-08-22 14:21:52,light rain
109,Mahibadhoo,3.78,72.97,84.83,64,5,5.64,MV,2020-08-22 14:21:52,clear sky
110,Gasa,31.5,34.47,88.0,55,0,1.01,PS,2020-08-22 14:21:53,clear sky
111,Saint-Joseph,-21.37,55.62,71.6,68,17,19.46,RE,2020-08-22 14:18:28,few clouds
112,Sioux Lookout,50.1,-91.92,68.0,88,90,5.82,CA,2020-08-22 14:21:53,overcast clouds
113,Leningradskiy,69.38,178.42,44.37,89,100,2.13,RU,2020-08-22 14:21:53,overcast clouds
114,Cape Town,-33.93,18.42,71.01,48,0,9.17,ZA,2020-08-22 14:18:25,clear sky
115,Arraial Do Cabo,-22.97,-42.03,64.4,82,90,6.93,BR,2020-08-22 14:21:53,light rain
116,Vardo,70.37,31.11,66.2,59,94,11.41,NO,2020-08-22 14:21:54,overcast clouds
117,Hilo,19.73,-155.09,73.4,94,90,8.05,US,2020-08-22 14:17:28,heavy intensity rain
118,Saskylakh,71.92,114.08,40.05,72,7,5.53,RU,2020-08-22 14:17:34,clear sky
119,Ponta Do Sol,32.67,-17.1,78.01,78,5,6.98,PT,2020-08-22 14:21:54,clear sky
120,Carnarvon,-24.87,113.63,68.0,72,68,13.87,AU,2020-08-22 14:17:35,broken clouds
121,Faya,18.39,42.45,82.4,57,40,18.34,SA,2020-08-22 14:18:19,scattered clouds
122,Finschhafen,-6.6,147.87,79.02,75,12,6.71,PG,2020-08-22 14:21:55,few clouds
123,Pandan,14.05,124.17,81.77,81,10,5.19,PH,2020-08-22 14:21:55,clear sky
124,Namibe,-15.2,12.15,68.0,72,20,12.75,AO,2020-08-22 14:21:55,few clouds
125,General Pico,-35.66,-63.76,52.21,41,0,13.31,AR,2020-08-22 14:18:14,clear sky
126,Saint Anthony,45.02,-93.22,71.01,83,20,6.91,US,2020-08-22 14:21:55,few clouds
127,Stornoway,58.21,-6.39,59.0,82,75,9.17,GB,2020-08-22 14:21:55,broken clouds
128,Tual,-5.67,132.75,79.09,82,5,19.91,ID,2020-08-22 14:21:55,clear sky
129,Puerto Palomas,31.77,-107.62,78.8,41,1,9.17,MX,2020-08-22 14:21:55,clear sky
130,Bud,39.45,-86.18,75.0,78,1,4.07,US,2020-08-22 14:21:56,clear sky
131,Spring Hill,28.48,-82.53,78.8,83,75,4.7,US,2020-08-22 14:19:18,broken clouds
132,Tuy Hoa,13.08,109.3,80.47,81,63,4.0,VN,2020-08-22 14:21:56,light rain
133,Chokurdakh,70.63,147.92,34.0,97,100,6.58,RU,2020-08-22 14:21:56,overcast clouds
134,Salihorsk,52.79,27.54,70.81,74,84,8.59,BY,2020-08-22 14:21:56,broken clouds
135,Sao Joao Da Barra,-21.64,-41.05,64.4,100,90,16.11,BR,2020-08-22 14:21:56,light rain
136,Lagos,6.58,3.75,77.0,94,75,8.05,NG,2020-08-22 14:17:44,broken clouds
137,Lucapa,-8.42,20.74,93.34,23,78,2.93,AO,2020-08-22 14:21:56,broken clouds
138,Castro,-24.79,-50.01,46.51,79,87,8.19,BR,2020-08-22 14:20:09,overcast clouds
139,Les Cayes,18.2,-73.75,86.27,63,0,1.74,HT,2020-08-22 14:21:56,clear sky
140,Meulaboh,4.14,96.13,74.52,93,100,6.76,ID,2020-08-22 14:21:57,light rain
141,Jijiga,9.35,42.8,68.63,70,57,19.35,ET,2020-08-22 14:21:57,broken clouds
142,Saint George,37.1,-113.58,80.6,36,1,3.36,US,2020-08-22 14:21:57,clear sky
143,Labrea,-7.26,-64.8,70.95,41,0,5.68,BR,2020-08-22 14:21:57,clear sky
144,Khorixas,-20.37,14.97,89.71,10,47,10.02,NA,2020-08-22 14:21:57,scattered clouds
145,Ribeira Grande,38.52,-28.7,73.4,78,20,5.82,PT,2020-08-22 14:17:43,few clouds
146,Tazovskiy,67.47,78.7,55.98,76,100,9.1,RU,2020-08-22 14:21:57,overcast clouds
147,Batemans Bay,-35.72,150.18,41.0,82,90,7.0,AU,2020-08-22 14:21:57,overcast clouds
148,Pevek,69.7,170.31,39.04,96,100,5.88,RU,2020-08-22 14:21:57,light rain
149,Waipawa,-41.41,175.52,50.0,87,4,8.05,NZ,2020-08-22 14:21:57,clear sky
150,Lazaro Cardenas,17.96,-102.2,78.87,86,69,4.52,MX,2020-08-22 14:21:58,broken clouds
151,Port Shepstone,-30.74,30.45,70.95,51,0,14.43,ZA,2020-08-22 14:21:58,clear sky
152,Teapa,17.55,-92.95,80.6,83,40,3.36,MX,2020-08-22 14:21:58,scattered clouds
153,New Norfolk,-42.78,147.06,44.01,89,97,1.99,AU,2020-08-22 14:21:58,light rain
154,Sampit,-2.53,112.95,77.14,89,32,3.51,ID,2020-08-22 14:21:58,scattered clouds
155,Vestmannaeyjar,63.44,-20.27,53.6,76,20,8.05,IS,2020-08-22 14:21:58,few clouds
156,Puerto Salgar,5.46,-74.65,77.88,83,99,0.65,CO,2020-08-22 14:21:58,light rain
157,Pangnirtung,66.15,-65.71,48.2,87,20,5.82,CA,2020-08-22 14:21:59,few clouds
158,Roald,62.58,6.13,62.01,82,75,14.99,NO,2020-08-22 14:21:59,broken clouds
159,Watertown,42.37,-71.18,82.0,57,1,2.57,US,2020-08-22 14:21:59,clear sky
160,Dunedin,-45.87,170.5,46.99,94,65,1.99,NZ,2020-08-22 14:21:59,broken clouds
161,Ramhormoz,31.28,49.6,113.0,8,0,24.16,IR,2020-08-22 14:21:59,clear sky
162,Khani,41.96,42.96,66.2,100,90,12.75,GE,2020-08-22 14:21:59,thunderstorm with rain
163,Adrar,20.5,-10.07,111.49,7,0,17.34,MR,2020-08-22 14:21:59,clear sky
164,Wajima,37.4,136.9,75.6,82,3,9.04,JP,2020-08-22 14:21:59,clear sky
165,Babstovo,48.12,132.48,61.27,83,38,5.3,RU,2020-08-22 14:21:59,scattered clouds
166,Nioro,13.35,-15.75,88.77,62,83,5.79,GM,2020-08-22 14:22:00,broken clouds
167,Kaeo,-35.1,173.78,57.0,3,6,5.75,NZ,2020-08-22 14:22:00,clear sky
168,Moose Factory,51.26,-80.61,60.8,82,75,2.24,CA,2020-08-22 14:22:00,broken clouds
169,Lyuban,52.8,28.0,70.25,73,93,8.61,BY,2020-08-22 14:22:00,overcast clouds
170,Kapoeta,4.77,33.59,90.63,36,49,10.58,SS,2020-08-22 14:22:00,scattered clouds
171,Pafos,34.77,32.42,91.4,46,20,11.41,CY,2020-08-22 14:22:00,few clouds
172,Kanadey,53.17,47.53,64.78,57,16,8.32,RU,2020-08-22 14:22:01,few clouds
173,Maridi,4.92,29.47,78.49,89,67,4.07,SS,2020-08-22 14:22:01,moderate rain
174,Sorong,-0.88,131.25,79.61,85,4,11.61,ID,2020-08-22 14:18:08,moderate rain
175,Hobart,-42.88,147.33,44.6,87,75,10.29,AU,2020-08-22 14:17:25,shower rain
176,Obigarm,38.72,69.71,77.27,16,0,4.38,TJ,2020-08-22 14:22:01,clear sky
177,Araguacu,-12.93,-49.83,91.02,31,0,8.23,BR,2020-08-22 14:22:01,clear sky
178,Mehamn,71.04,27.85,66.33,65,22,29.64,NO,2020-08-22 14:22:01,few clouds
179,Kalmunai,7.42,81.82,84.09,69,81,19.53,LK,2020-08-22 14:22:01,broken clouds
180,Yinchuan,38.47,106.27,81.72,41,100,5.08,CN,2020-08-22 14:22:01,overcast clouds
181,Broken Hill,-31.95,141.43,46.4,61,0,12.75,AU,2020-08-22 14:18:01,clear sky
