City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Sao Joao Da Barra,BR,64.4,light rain,-21.64,-41.05,Pousada Porto De Canoas
139,Les Cayes,HT,86.27,clear sky,18.2,-73.75,Villa Orphee
140,Meulaboh,ID,74.52,light rain,4.14,96.13,Kost Pria
141,Jijiga,ET,68.63,broken clouds,9.35,42.8,RAMAAS HOTEL
142,Saint George,US,80.6,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
143,Labrea,BR,70.95,clear sky,-7.26,-64.8,Hotel Novo Horizonte
145,Ribeira Grande,PT,73.4,few clouds,38.52,-28.7,Quinta da Meia Eira
146,Tazovskiy,RU,55.98,overcast clouds,67.47,78.7,TazHostel
149,Waipawa,NZ,50.0,clear sky,-41.41,175.52,Tora Coastal Walk
150,Lazaro Cardenas,MX,78.87,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
151,Port Shepstone,ZA,70.95,clear sky,-30.74,30.45,My Den Beachfront B&B And Self-Catering
152,Teapa,MX,80.6,scattered clouds,17.55,-92.95,Hotel Quintero
154,Sampit,ID,77.14,scattered clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
155,Vestmannaeyjar,IS,53.6,few clouds,63.44,-20.27,Glamping & Camping
156,Puerto Salgar,CO,77.88,light rain,5.46,-74.65,Hotel Confort
158,Roald,NO,62.01,broken clouds,62.58,6.13,Flem Cabins
159,Watertown,US,82.0,clear sky,42.37,-71.18,Super 8 by Wyndham Watertown/Cambridge/Boston Area
162,Khani,GE,66.2,thunderstorm with rain,41.96,42.96,კურორტი ზეკარი/Resort Zekari
164,Wajima,JP,75.6,clear sky,37.4,136.9,Wajiima Onsen Yashio
167,Kaeo,NZ,57.0,clear sky,-35.1,173.78,Bushido Lodge
168,Moose Factory,CA,60.8,broken clouds,51.26,-80.61,Cree Village Eco Lodge
174,Sorong,ID,79.61,moderate rain,-0.88,131.25,The Waigo Hotel
176,Obigarm,TJ,77.27,clear sky,38.72,69.71,Kurort Obi Garm
178,Mehamn,NO,66.33,few clouds,71.04,27.85,Mehamn Arctic Hotel AS
179,Kalmunai,LK,84.09,broken clouds,7.42,81.82,VS Villa
180,Yinchuan,CN,81.72,overcast clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
182,Pimentel,PE,60.8,mist,-6.84,-79.93,Casona Del Muelle
183,Rio Grande,BR,59.0,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
184,Praia,CV,84.2,scattered clouds,14.92,-23.51,LT Aparthotel
185,Kaitangata,NZ,51.01,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
186,Whitehorse,CA,53.6,overcast clouds,60.72,-135.05,Westmark Hotel
187,Faanui,PF,77.25,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Aksu,CN,83.82,broken clouds,41.12,80.26,Pudong Holiday Hotel
189,Susanville,US,53.01,haze,40.42,-120.65,Red Lion Inn & Suites Susanville
190,Senneterre,CA,60.8,shower rain,48.38,-77.23,Motel Senabi
192,Stromness,GB,59.0,broken clouds,58.97,-3.3,The Old Smokery
193,Erenhot,CN,70.02,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
194,Sorland,NO,56.93,overcast clouds,67.67,12.69,Sjybrygga fiskecamp
197,Ahipara,NZ,55.11,clear sky,-35.17,173.17,Ahipara Holiday Park
198,Novopskov,UA,72.63,scattered clouds,49.55,39.09,"Sanatorno-Ozdorovchyy Kompleks ""Perlyna"""
199,Pochutla,MX,77.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
200,Mayumba,GA,75.4,overcast clouds,-3.43,10.66,LIKWALE LODGE
201,Coruripe,BR,79.2,broken clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
202,Rochester,US,78.01,scattered clouds,43.15,-77.62,Hyatt Regency Rochester
203,Arawa,PG,77.56,overcast clouds,-6.21,155.54,Coastline Guest House
204,Krasnogorsk,RU,75.2,few clouds,55.82,37.32,"Hotel ""Academy"""
205,Kanigiri,IN,89.22,few clouds,15.4,79.52,Hotel
207,Bambous Virieux,MU,73.4,shower rain,-20.34,57.76,Casa Tia Villa
209,Fortuna,US,60.01,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
210,Porto Novo,BJ,78.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
211,Haines Junction,CA,51.67,light rain,60.75,-137.51,Parkside Inn
212,Kushima,JP,77.86,clear sky,31.46,131.23,Hanaoka
214,Lunenburg,CA,69.01,overcast clouds,44.38,-64.32,Lunenburg Arms Hotel
216,Juba,SS,87.87,scattered clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
218,Natal,BR,84.2,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
220,Norman Wells,CA,51.8,broken clouds,65.28,-126.83,Heritage Hotel
221,Aquiraz,BR,84.2,broken clouds,-3.9,-38.39,Hotel Laguna Blu
222,Tasiilaq,GL,51.8,few clouds,65.61,-37.64,The Red House
224,Kirakira,SB,79.12,light rain,-10.45,161.92,SanBiz Lodge
225,Necochea,AR,59.0,clear sky,-38.55,-58.74,dyd -mar Hotel
226,Quang Ngai,VN,80.1,light rain,15.12,108.8,Central Hotel
227,Marsh Harbour,BS,84.0,broken clouds,26.54,-77.06,Abaco Beach Resort
228,Bolshoy Lug,RU,57.2,broken clouds,52.08,104.09,Metallurg
229,East London,ZA,71.6,clear sky,-33.02,27.91,Tu Casa
230,Toamasina,MG,69.8,shower rain,-18.17,49.38,Hotel H1
231,Mar Del Plata,AR,55.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
237,Husavik,IS,53.6,scattered clouds,66.04,-17.34,Bjarnabúð
238,Beyneu,KZ,76.1,overcast clouds,45.32,55.2,NUR
242,Bonavista,CA,66.0,clear sky,48.65,-53.11,Abbott's Bed & Breakfast
243,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
244,Viramgam,IN,82.4,mist,23.12,72.05,'Hotel Asopalav & Guest House-honest
245,Ixtapa,MX,78.8,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
246,Puerto Quijarro,BO,56.98,overcast clouds,-17.78,-57.77,Hotel palance
247,Eyl,SO,85.55,overcast clouds,7.98,49.82,Amiin Hotel
248,Vicksburg,US,78.8,clear sky,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
251,Tura,IN,74.88,few clouds,25.52,90.22,Hotel RIKMAN Continental
253,Nagar Karnul,IN,78.84,overcast clouds,16.48,78.32,JANGITI VENKATASWAMY HOUSE
255,Mount Pleasant,US,82.99,clear sky,32.79,-79.86,Best Western Patriots Point
256,Seoul,KR,73.4,moderate rain,37.57,126.98,LOTTE HOTEL SEOUL
257,Chelmza,PL,78.01,light intensity shower rain,53.18,18.6,"""Tumska Przystań"" Restauracja & Hotel"
258,Havre,FR,72.0,overcast clouds,49.58,0.33,gite bois jourdain
259,Khamgaon,IN,77.27,moderate rain,20.68,76.57,Hotel Gurukrupa Inn
260,Mayo,US,77.0,overcast clouds,38.89,-76.51,Resorts Resource Group International
261,Hobyo,SO,78.8,broken clouds,5.35,48.53,Osmani Hotel
262,Slave Lake,CA,55.4,mist,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
